term,coef_log_odds,odds_ratio,robust_se,z,p_value,ci_low_or,ci_high_or
Intercept,1.416326648218764,4.121951219512188,0.11649482839841689,12.157849989485122,5.2112203608279764e-34,3.280516830221622,5.17920886718639
size_c[T.big],1.614972456329974,5.027749438890054,0.20385438594909036,7.922186460747966,2.3336999439823324e-15,3.371727424066243,7.497125728441629
provider_c[T.tailscale_medical_rag],-0.09808575034388749,0.9065711616318933,0.0740153048891672,-1.3252090292779866,0.1851018314158549,0.7841514649271066,1.0481027044679438
size_c[T.big]:provider_c[T.tailscale_medical_rag],-0.00535850305394863,0.994655828114245,0.16312239133051035,-0.032849586192563236,0.9737945354652562,0.7224749613739895,1.3693764757191385
