model,model_label,openrouter_accuracy,tailscale_accuracy,paired_diff_openrouter_minus_tailscale,bootstrap_ci_low,bootstrap_ci_high,openrouter_only_correct_b,tailscale_only_correct_c,discordant_pairs,mcnemar_exact,mcnemar_statistic,p_value,p_holm,reject_holm_0_05
google/gemini-3.5-flash,Gemini,0.9619047619047619,0.9555555555555556,0.006349206349206327,-0.006349206349206349,0.01904761904761905,3,1,4,True,1.0,0.625,1.0,False
google/gemma-4-26b-a4b-it,Gemma,0.7365079365079366,0.7365079365079366,0.0,-0.031746031746031744,0.031746031746031744,14,14,28,True,14.0,1.0,1.0,False
qwen/qwen3.6-35b-a3b,Qwen 3.6,0.873015873015873,0.8412698412698413,0.031746031746031744,0.0,0.06666666666666667,19,9,28,True,9.0,0.08715855330228806,0.3486342132091522,False
qwen/qwen3.7-max,Qwen 3.7 Max,0.946031746031746,0.9428571428571428,0.0031746031746031633,-0.01904761904761905,0.025396825396825397,7,6,13,True,6.0,1.0,1.0,False
