model,model_label,openrouter_median_ms,tailscale_median_ms,median_latency_ratio_tailscale_over_openrouter,geomean_latency_ratio_tailscale_over_openrouter,geomean_ratio_ci_low,geomean_ratio_ci_high,paired_log_latency_t_statistic,p_value,p_holm
google/gemini-3.5-flash,Gemini,4952.0,25390.0,4.98392713635146,4.969660383213246,4.694186153306045,5.261300578607249,55.10692693032147,1.7560398007308166e-163,5.26811940219245e-163
google/gemma-4-26b-a4b-it,Gemma,1689.0,14364.0,8.90374677002584,8.55266072946168,7.999302833666257,9.14429758121192,62.890693694494026,5.278796269829096e-180,2.1115185079316384e-179
qwen/qwen3.6-35b-a3b,Qwen 3.6,35069.0,23659.0,0.6960055037193104,0.7841048965861873,0.7308239981477137,0.8412702516730551,-6.7741289548825145,6.179270412873315e-11,6.179270412873315e-11
qwen/qwen3.7-max,Qwen 3.7 Max,16500.0,27779.0,1.7814814814814814,1.7050693542581445,1.6326292855355815,1.7807236024659225,24.09054747444838,2.383588490438924e-73,4.767176980877848e-73
