term,coef_log_odds,odds_ratio,robust_se,z,p_value,ci_low_or,ci_high_or
Intercept,3.2288261557213658,25.249999999999922,0.2943359702216655,10.969866011584397,5.335139627478391e-28,14.181499382114973,44.95734074522891
provider_c[T.tailscale_medical_rag],-0.1607732205877365,0.8514851485148645,0.1606907558915094,-1.000513188800249,0.3170622182573627,0.6214366433230407,1.1666948930858119
model_c[T.google/gemma-4-26b-a4b-it],-2.2009293918516537,0.11070022664917128,0.29879609006818986,-7.365991273009523,1.7583532552296297e-13,0.06163293038519153,0.19883104865515655
model_c[T.qwen/qwen3.6-35b-a3b],-1.3009345121687323,0.2722772277227727,0.2883345516606621,-4.511892538289302,6.425174073867875e-06,0.15473213026897892,0.47911761188530183
model_c[T.qwen/qwen3.7-max],-0.3649460132721758,0.6942341292952857,0.3192521838634204,-1.1431276956536145,0.252985576800954,0.3713282652370909,1.2979378932294696
provider_c[T.tailscale_medical_rag]:model_c[T.google/gemma-4-26b-a4b-it],0.16077322058773624,1.1744186046511447,0.18568974850067482,0.8658163516611794,0.3865908806300772,0.8161378546440898,1.689982949696928
provider_c[T.tailscale_medical_rag]:model_c[T.qwen/qwen3.6-35b-a3b],-0.09941160240682133,0.9053699788583381,0.21785553789051412,-0.45631891376009825,0.6481606650416016,0.5907274056684708,1.3876024554682305
provider_c[T.tailscale_medical_rag]:model_c[T.qwen/qwen3.7-max],0.1002534590450822,1.105451069143107,0.27028121186345305,0.3709227820679248,0.7106950460429413,0.6508422524348051,1.8776010034659638
