term,coef_log_odds,odds_ratio,robust_se,z,p_value,ci_low_or,ci_high_or
Intercept,1.7525788956498538,5.769462348350098,0.11217287631758495,15.623909747022402,5.004077162352635e-55,4.630774339306459,7.188148968194961
source_c[T.closed_source],1.4419263286133914,4.228834100104473,0.2522552546892879,5.716139909114937,1.0897102851916684e-08,2.5792924432312727,6.9333114564562495
provider_c[T.tailscale_medical_rag],-0.09594436674094108,0.908514558288559,0.0623313395141092,-1.5392636752050435,0.12373993811223574,0.8040357486499069,1.0265696568942613
