contrast,model,n_pairs,n_x_correct,n_y_correct,acc_x,acc_y,concordant_both_correct,concordant_both_wrong,discordant_b_x_only,discordant_c_y_only,mcnemar_exact_p,risk_diff_x_minus_y,risk_diff_ci_lo,risk_diff_ci_hi,mcnemar_or_x_vs_y,or_ci_lo,or_ci_hi,p_raw,p_holm,reject_holm_0.05
openrouter_A_vs_openrouter_B,google/gemini-3.6-flash,500,491,450,0.982,0.9,447,6,44,3,2.4647306418046355e-10,0.082,0.056105322553277465,0.10789467744672254,14.666666666666666,4.701500343694031,73.84038698657737,2.4647306418046355e-10,2.4647306418046355e-10,True
openrouter_A_vs_openrouter_B,google/gemma-4-26b-a4b-it,500,395,271,0.79,0.542,245,79,150,26,2.1624066561172456e-22,0.248,0.20075746785837234,0.29524253214162766,5.769230769230769,3.7866199435507037,9.118816965665161,2.1624066561172456e-22,8.649626624468982e-22,True
openrouter_A_vs_openrouter_B,qwen/qwen3.6-35b-a3b,500,442,358,0.884,0.716,339,39,103,19,3.7616493492859476e-15,0.168,0.12728404198611815,0.20871595801388187,5.421052631578948,3.301578518112267,9.36845582677414,3.7616493492859476e-15,7.523298698571895e-15,True
openrouter_A_vs_openrouter_B,z-ai/glm-5.2,500,469,389,0.938,0.778,381,23,88,8,3.673235528056121e-18,0.16,0.1242447556919687,0.19575524430803132,11.0,5.344742796154484,26.273584118534803,3.673235528056121e-18,1.1019706584168362e-17,True
