name,n,mean,std,min,max,shapiro_W,shapiro_p,anderson_darling_statistic,anderson_darling_reject_5pct,anderson_darling_p_interpolated_scipy,anderson_darling_p_approx_stephens1974,skewness,skewness_se,skewness_z,kurtosis_excess,kurtosis_se,kurtosis_z,note
per_question_difficulty_overall,500,0.8503333333333334,0.1780979567790214,0.0,1.0,0.8059383674957097,4.835777342673903e-24,29.954555761254255,True,0.01,2.8236107588656223e-67,-1.5427175971054634,0.10921778720931159,-14.125149726288685,2.527523453813102,0.21800608775275512,11.59382052064351,"Proportion of the 12 run-1 cells (3 arms x 4 models) strict_correct, per question. n=500. Bounded [0,1]; only 13 distinct support points (k/12, k=0..12) — a discrete proportion, not a continuous measurement."
per_question_difficulty_openrouter_A,500,0.8985,0.19208472892495213,0.0,1.0,0.5881823173000583,1.0307803012756695e-32,91.47019196023916,True,0.01,1.6583576959762988e-159,-2.0288028978018398,0.10921778720931159,-18.57575537502622,3.770559128308534,0.21800608775275512,17.295659800953803,"Proportion of the 4 models strict_correct within arm openrouter_A, per question. n=500. Bounded [0,1]; only 5 distinct support points (k/4, k=0..4)."
per_question_difficulty_openrouter_B,500,0.734,0.28487947034711103,0.0,1.0,0.8258657365437346,6.563645368448904e-23,32.21758858275973,True,0.01,9.362114905798718e-72,-0.8832017772967459,0.10921778720931159,-8.08661116347399,-0.1283311155653748,0.21800608775275512,-0.5886584034796202,"Proportion of the 4 models strict_correct within arm openrouter_B, per question. n=500. Bounded [0,1]; only 5 distinct support points (k/4, k=0..4)."
per_question_difficulty_tailscale_A,500,0.9185,0.17690489162644069,0.0,1.0,0.5185120765946835,1.0837892007119839e-34,101.13911961854899,True,0.01,1.9932438614024164e-168,-2.7362907413116684,0.10921778720931159,-25.053526639096567,8.531029829268597,0.21800608775275512,39.132071572899385,"Proportion of the 4 models strict_correct within arm tailscale_A, per question. n=500. Bounded [0,1]; only 5 distinct support points (k/4, k=0..4)."
latency_ms_all_attempts_overall,1835,16207.274114441418,25687.387872678682,100.0,195200.0,0.6265832458069874,7.973055180863814e-53,187.24754143783093,True,0.01,3.7001067601844895e-181,3.247077261529324,0.057135101168013715,56.8315658001697,13.594278701652456,0.11420821775065178,119.03065269202027,All provider attempts with a recorded latency_ms (successes and retries/errors); 21 of 1856 attempt rows have no latency recorded.
log_latency_ms_all_attempts_overall,1835,8.504965547507446,1.6863235019486118,4.605170185988092,12.18177995296113,0.9162359160120365,1.0237763278200768e-30,63.52254239815238,True,0.01,4.190210194690287e-125,0.10763020992043068,0.057135101168013715,1.8837843588292436,-1.378686460763535,0.11420821775065178,-12.071692282017656,"Natural log of latency_ms, all attempts. Latencies are typically log-normal, so this is the theoretically expected transform to test."
latency_ms_all_attempts_openrouter,1491,11343.247484909456,21213.734491605213,100.0,195200.0,0.5523333600230358,6.5995835083816325e-52,213.4804447550921,True,0.01,3.2059774958534123e-161,3.7030747295438506,0.06337245357817389,58.433507312067,17.993816431830414,0.12666038419045506,142.06349165003087,All openrouter provider attempts with a recorded latency_ms.
log_latency_ms_all_attempts_openrouter,1491,8.084791747153472,1.57656432825532,4.605170185988092,12.18177995296113,0.9089947921430535,5.91047055878828e-29,55.32008921041074,True,0.01,1.1982478870313507e-112,0.510455755397761,0.06337245357817389,8.05485233056476,-0.9993453334961915,0.12666038419045506,-7.889959752478792,"Natural log of latency_ms, openrouter provider attempts."
latency_ms_all_attempts_tailscale,344,37289.436046511626,32009.831938220155,13333.0,180003.0,0.6010855566878522,2.053991368881302e-27,44.4550231862255,True,0.01,1.3565003123465274e-94,2.9161111241419935,0.13149661355403508,22.176321087871166,8.345174727056763,0.2622474468735244,31.821757757975195,All tailscale provider attempts with a recorded latency_ms.
log_latency_ms_all_attempts_tailscale,344,10.326125827530042,0.560340802268136,9.497997444115459,12.100728796400126,0.8872437370614781,3.1344988917295946e-15,9.692956803222842,True,0.01,1.732551683215743e-23,1.3211420743894668,0.13149661355403508,10.046966523944574,1.7190048412866776,0.2622474468735244,6.5548963842371055,"Natural log of latency_ms, tailscale provider attempts."
