contrast_family,reference,level,log_or,se,or_estimate,or_ci_lo,or_ci_hi,wald_p,p_holm,exclude_vertex,n_cells_used,n_vertex_cells_excluded_or_flagged
flip_rate_by_arm,openrouter_A,openrouter_B,-0.5760037347293369,0.18989457075828334,0.5621403457508612,0.38744156007365477,0.8156114389504941,0.0024190962944308225,0.004838192588861645,False,898,46
flip_rate_by_arm,openrouter_A,tailscale_A,-0.22777188840451051,0.23016471852538437,0.7963058857252708,0.507181451341864,1.2502489236604455,0.3223677942271912,0.3223677942271912,False,898,46
flip_rate_by_model,google/gemini-3.6-flash,google/gemma-4-26b-a4b-it,-0.7355249844032475,0.3775844350602213,0.47925379215401825,0.22864678763500454,1.0045371713713223,0.051417972180822114,0.10283594436164423,False,898,46
flip_rate_by_model,google/gemini-3.6-flash,qwen/qwen3.6-35b-a3b,0.9859931104696842,0.3560606451264922,2.6804725683971906,1.3339267950451323,5.386302469234629,0.005619898655750077,0.016859695967250232,False,898,46
flip_rate_by_model,google/gemini-3.6-flash,z-ai/glm-5.2,0.2291633666732895,0.37695167280208053,1.2575474635752462,0.6007067886662604,2.6326082091659884,0.5432283831211453,0.5432283831211453,False,898,46
flip_rate_by_arm,openrouter_A,openrouter_B,-0.6057252377491795,0.19567467509515382,0.5456785364262646,0.37185899077629053,0.8007472523245913,0.0019643302432952314,0.003928660486590463,True,852,46
flip_rate_by_arm,openrouter_A,tailscale_A,-0.2217671667826858,0.22920686877818197,0.801101865746753,0.5111948887012018,1.2554198281079563,0.33327338565929443,0.33327338565929443,True,852,46
flip_rate_by_model,google/gemini-3.6-flash,google/gemma-4-26b-a4b-it,-0.28337807368157036,0.6892359859237684,0.7532349557065482,0.19509751218103513,2.9080990944250362,0.6809639337633144,0.6809639337633144,True,852,46
flip_rate_by_model,google/gemini-3.6-flash,qwen/qwen3.6-35b-a3b,1.4365328773064707,0.683590702986215,4.206087485819049,1.1015515866854777,16.060230090172723,0.03560132949616923,0.1068039884885077,True,852,46
flip_rate_by_model,google/gemini-3.6-flash,z-ai/glm-5.2,0.6800789126826299,0.6930868505811383,1.97403350236352,0.5074554512970086,7.67911401580909,0.32647840687008034,0.6529568137401607,True,852,46
