contrast,model,n_pairs,n_x_correct,n_y_correct,acc_x,acc_y,concordant_both_correct,concordant_both_wrong,discordant_b_x_only,discordant_c_y_only,mcnemar_exact_p,risk_diff_x_minus_y,risk_diff_ci_lo,risk_diff_ci_hi,mcnemar_or_x_vs_y,or_ci_lo,or_ci_hi,p_raw,p_holm,reject_holm_0.05
openrouter_A_vs_tailscale_A,google/gemini-3.6-flash,500,491,487,0.982,0.974,486,8,5,1,0.21875,0.008,-0.0015761842592762459,0.017576184259276248,5.0,0.5594916942300863,236.48769286736263,0.21875,0.4375,False
openrouter_A_vs_tailscale_A,google/gemma-4-26b-a4b-it,500,395,419,0.79,0.838,374,60,21,45,0.004272405031651674,-0.048,-0.07956649626451265,-0.01643350373548736,0.4666666666666667,0.2640600886045657,0.7998306492277478,0.004272405031651674,0.017089620126606697,True
openrouter_A_vs_tailscale_A,qwen/qwen3.6-35b-a3b,500,442,451,0.884,0.902,422,29,20,29,0.2528697301676033,-0.018,-0.0453940990642189,0.009394099064218904,0.6896551724137931,0.3698012049494005,1.2617813155202808,0.2528697301676033,0.4375,False
openrouter_A_vs_tailscale_A,z-ai/glm-5.2,500,469,480,0.938,0.96,463,14,6,17,0.03468966484069824,-0.022,-0.04070015185407401,-0.003299848145925991,0.35294117647058826,0.11394068620269517,0.938179705386214,0.03468966484069824,0.10406899452209473,False
