   # exclusion    outcome  unit     inference          pooling   N_cells  delta_pp            p
  81 notaA_only   lenient  cluster  cluster_bootstrap  separate     1327   -16.107    9.047e-13
  82 notaA_only   lenient  cluster  permutation        separate     1327   -16.107    9.047e-13
  83 notaA_only   lenient  cluster  ols_robustSE       separate     1327   -16.107    1.852e-21
  84 notaA_only   lenient  cluster  cluster_bootstrap  pooled       1327   -16.085    9.999e-05
  85 notaA_only   lenient  cluster  permutation        pooled       1327   -16.085    9.999e-05
  86 notaA_only   lenient  cluster  ols_robustSE       pooled       1327   -16.085    1.551e-14
  87 notaA_only   strict   cluster  cluster_bootstrap  pooled       1328   -15.968    9.999e-05
  88 notaA_only   strict   cluster  permutation        pooled       1328   -15.968    9.999e-05
  89 notaA_only   strict   cluster  ols_robustSE       pooled       1328   -15.968    2.804e-14
  90 notaA_only   strict   cluster  cluster_bootstrap  separate     1328   -15.968    9.047e-13
  91 notaA_only   strict   cluster  permutation        separate     1328   -15.968    9.047e-13
  92 notaA_only   strict   cluster  ols_robustSE       separate     1328   -15.968    6.343e-21
  93 primary      lenient  cluster  cluster_bootstrap  separate     1299   -15.849    9.047e-13
  94 primary      lenient  cluster  permutation        separate     1299   -15.849    1.712e-12
  95 primary      lenient  cluster  ols_robustSE       separate     1299   -15.849    2.821e-20
  96 primary      lenient  cluster  cluster_bootstrap  pooled       1299   -15.825    9.999e-05
  97 primary      lenient  cluster  permutation        pooled       1299   -15.825    9.999e-05
  98 primary      lenient  cluster  ols_robustSE       pooled       1299   -15.825    1.078e-13
  99 notaA_only   lenient  model    cluster_bootstrap  pooled       1327   -15.752    9.999e-05
 100 notaA_only   lenient  model    permutation        pooled       1327   -15.752    9.999e-05
 101 notaA_only   lenient  model    ols_robustSE       pooled       1327   -15.752    9.849e-03
 102 notaA_only   lenient  cell     mcnemar_exact      separate     1327   -15.752    3.458e-33
 103 notaA_only   lenient  cell     cluster_bootstrap  separate     1327   -15.752    9.047e-13
 104 notaA_only   lenient  cell     permutation        separate     1327   -15.752    9.047e-13
 105 notaA_only   lenient  cell     logit_robustSE     separate     1327   -15.752    1.026e-27
 106 notaA_only   lenient  cell     mcnemar_exact      pooled       1327   -15.750    1.546e-36
 107 notaA_only   lenient  cell     cluster_bootstrap  pooled       1327   -15.750    9.999e-05
